Hotel_ID,X,Y,HNAME,ADDRESS,PHONE,NUMROOMS,WEB_URL,,,ZIPCODE
23,-77.0469628,38.91638191,THE CHURCHILL HOTEL NEAR EMBASSY ROW,1914 CONNECTICUT AVENUE NW,202-797-2000,173,http://www.thechurchillhotel.com/,,,20009
24,-77.0170395,38.91608652,THE BIRDHOUSE BED AND BREAKFAST,327 T STREET NW,202-770-7059,7,https://www.birdhousebnb.com/index.htm,,,20001
25,-77.04687482,38.91603665,"COURTYARD WASHINGTON, DC/DUPONT CIRCLE",1900 CONNECTICUT AVENUE NW,202-332-9300,147,http://www.marriott.com/hotels/travel/wasnw-courtyard-washington-dc-dupont-circle/,,,20009
26,-77.01490011,38.91572405,LEDROIT PARK BED AND BREAKFEAST,210 T STREET NW,202-277-7847,2,http://www.ledroitparkrenaissancebedandbreakfast.com/,,,20001
27,-77.06778571,38.91546716,GEORGETOWN HILL INN,1832 WISCONSIN AVENUE NW,202-298-6021,8,http://www.georgetownhillinn.com/,,,20007
28,-77.03694816,38.91529441,WINDSOR INN,1842 16TH STREET NW,202-667-0300,58,http://www.windsor-inn-hotel-dc.com/,,,20009
29,-77.03928272,38.91456614,SWANN HOUSE LLC,1808 NEW HAMPSHIRE AVENUE NW,202-265-4414,12,http://swannhouse.com/,,,20009
30,-77.03947333,38.91334743,KIMPTON CARLYLE HOTEL,1731 NEW HAMPSHIRE AVENUE NW,202-234-3200,170,https://www.carlylehoteldc.com/boutique-hotels-washington-dc/,,,20009
31,-77.04640883,38.91297103,IVY MANSION B&B AT DUPONT CIRCLE,1705 21ST STREET NW,202-302-0242,,http://theivymansion.com/,,,20009
32,-77.04981104,38.91243183,EMBASSY CIRCLE GUEST HOUSE,2224 R STREET NW,202-232-7744,11,http://www.dcinns.com/embassy.html,,,20008
33,-76.99560871,38.91233229,HOWARD JOHNSON BY WYNDHAM WASHINGTON DC,600 NEW YORK AVENUE NE,202-546-9200,53,https://www.wyndhamhotels.com/hojo/washington-district-of-columbia/howard-johnson-express-inn-washington-dc/overview,,,20002
34,-77.03605229,38.91223916,THE EMBASSY INN HOTEL,1627 16TH STREET NW,202-234-7800,39,https://embassy-inn-hotel-dc.com/,,,20009
35,-77.07528426,38.912211,GEORGETOWN UNIVERSITY HOTEL & CONFERENCE CENTER,3800 RESERVOIR ROAD NW,202-687-3200,146,http://www.acc-guhotelandconferencecenter.com/,,,20007
36,-76.99671016,38.91135394,HOMEWOOD SUITES WASHINGTON DC NOMA UNION STATION,501 NEW YORK AVENUE NE,202-393-8001,,http://homewoodsuites3.hilton.com/en/hotels/district-of-columbia/homewood-suites-by-hilton-washington-dc-noma-union-station-DCANEHW/index.html,,,20002
37,-76.99691466,38.91130258,HAMPTON INN WASHINGTON DC NOMA UNION STATION,501 NEW YORK AVENUE NE,202-393-1001,,http://hamptoninn3.hilton.com/en/hotels/district-of-columbia/hampton-inn-washington-dc-noma-union-station-DCANYHX/index.html,,,20002
38,-77.0456924,38.91073229,THE EMBASSY ROW HOTEL,2015 MASSACHUSETTS AVENUE NW,202-265-1600,231,http://www.embassyrowhotel.com/,,,20036
39,-77.04702476,38.91049727,THE FAIRFAX AT EMBASSY ROW,2100 MASSACHUSETTS AVENUE NW,202-293-2100,259,https://fairfaxwashingtondc.com,,,20008
40,-77.0430949,38.91047762,THE DUPONT CIRCLE HOTEL,1500 NEW HAMPSHIRE AVENUE NW,202-483-6000,327,http://www.doylecollection.com/locations/washington_dc_hotels/the_dupont_circle_hotel.aspx,,,20036
41,-77.04848005,38.91030309,THE BARON HOTEL,1523 22ND STREET NW,202-293-1887,53,http://www.thebaronhotel.com/,,,20037
42,-76.99790028,38.91017701,MOTEL 6 WASHINGTON DC - CONVENTION CENTER,1345 4TH STREET NE,202-544-2000,33,https://www.motel6.com/en/motels.dc.washington.4481.html?ncr=true,,,20002
43,-77.0474154,38.90982104,KIMPTON HOTEL PALOMAR WASHINGTON DC,2121 P STREET NW,202-448-1800,335,http://www.hotelpalomar-dc.com/,,,20037
44,-77.04732394,38.90941768,"RESIDENCE INN WASHINGTON, DC/DUPONT CIRCLE",2120 P STREET NW,202-466-6800,107,http://www.marriott.com/hotels/travel/wasri-residence-inn-washington-dc-dupont-circle/,,,20037
45,-77.0553554,38.90923705,THE AVERY GEORGETOWN,2616 P STREET NW,202-827-4390,,https://www.averygeorgetown.com/,,,20007
46,-77.02372019,38.90875428,"CAMBRIA HOTEL WASHINGTON, DC CONVENTION CENTER",899 O STREET NW,202-299-1188,,https://www.cambriadc.com/en-us,,,20001
47,-77.03163426,38.90854891,BED AND BREAKFAST DC,1339 14TH STREET NW,202-328-3510,,https://www.bedandbreakfastdc.com,,,20005
48,-77.04592749,38.90839102,THE MANSION ON O STREET,2020 O STREET NW,202-496-2000,49,http://omansion.com/lodging,,,20036
49,-77.02674563,38.90832032,DC LOFTY HOSTEL,1333 11TH STREET NW,202-506-7106,,http://dclofty.com/,,,20001
50,-77.0361325,38.90827384,KIMPTON ROUGE HOTEL,1315 16TH STREET NW,202-232-8000,137,http://www.rougehotel.com/,,,20036
51,-77.03497313,38.90812348,HOLIDAY INN WASHINGTON DC-CENTRAL/WHITE HOUSE,1501 RHODE ISLAND AVENUE NW,202-483-2000,212,http://www.inndc.com/,,,20005
52,-77.03300733,38.90808829,KIMPTON MASON & ROOK HOTEL,1430 RHODE ISLAND AVENUE NW,202-742-3100,178,https://www.masonandrookhotel.com/,,,20005
53,-77.03324249,38.90799454,THE DISTRICT HOTEL,1440 RHODE ISLAND AVENUE NW,202-232-7800,58,http://dcembassyinn.wixsite.com/district,,,20005
54,-77.03550962,38.90794333,THE DARCY HOTEL,1515 RHODE ISLAND AVENUE NW,202-232-7000,226,https://www.thedarcyhotel.com/,,,20005
55,-77.00316597,38.90780401,"COURTYARD WASHINGTON, DC/U.S. CAPITOL",1325 2ND STREET NE,202-898-4000,218,http://www.marriott.com/hotels/travel/wasus-courtyard-washington-dc-us-capitol/,,,20002
56,-77.04369659,38.90774985,INN AT DUPONT SOUTH,1312 19TH STREET NW,202-359-8432,8,http://www.thedupontcollection.com,,,20036
57,-77.04575614,38.90764051,KIMPTON HOTEL MADERA,1310 NEW HAMPSHIRE AVENUE NW,202-296-7600,82,http://www.hotelmadera.com/,,,20036
58,-77.0076871,38.90755499,HYATT PLACE WASHINGTON DC/US CAPITOL,33 NEW YORK AVENUE NE,202-289-5599,200,https://washingtondcuscapitol.place.hyatt.com/en/hotel/home.html,,,20002
59,-77.03999328,38.90746219,TABARD INN,1739 N STREET NW,202-785-1277,40,http://www.tabardinn.com/,,,20036
60,-77.03971125,38.90742679,KIMPTON TOPAZ HOTEL,1733 N STREET NW,202-393-3000,99,http://www.topazhotel.com/,,,20036
61,-77.06356492,38.90721329,GEORGETOWN INN,1310 WISCONSIN AVENUE NW,202-333-8900,96,http://www.georgetowninn.com/,,,20007
62,-77.03805198,38.90705674,BEACON HOTEL AND CORPORATE QUARTERS,1615 RHODE ISLAND AVENUE NW,202-296-2100,60,http://www.beaconhotelwdc.com/,,,20036
63,-77.04944766,38.90685699,THE DISTRICT BY HILTON CLUB,1250 22ND STREET NW,202-449-3100,318,http://www3.hilton.com/en/hotels/district-of-columbia/the-district-by-hilton-club-WASVCGV/index.html,,,20037
64,-77.03358487,38.90668444,"HOMEWOOD SUITES WASHINGTON, D.C. DOWNTOWN",1475 MASSACHUSETTS AVENUE NW,202-265-8000,175,http://homewoodsuites3.hilton.com/en/hotels/district-of-columbia/homewood-suites-by-hilton-washington-dc-downtown-WASHWHW/index.html,,,20005
65,-77.03697367,38.90667396,COURTYARD WASHINGTON EMBASSY ROW,1600 RHODE ISLAND AVENUE NW,202-293-8000,158,http://www.marriott.com/hotels/travel/wasem-courtyard-washington-embassy-row/,,,20036
66,-77.0267341,38.90647335,DUO HOUSING HOSTEL,1223 11TH STREET NW,202-808-2195,,http://duohousing.com/,,,20001
67,-77.04693408,38.90638824,THE CONCORDIA,1250 NEW HAMPSHIRE AVENUE NW,202-557-2000,121,http://www.theconcordia.com/,,,20036
68,-77.00561862,38.90627872,HILTON GARDEN INN WASHINGTON DC/U.S. CAPITOL,1225 1ST STREET NE,202-408-4870,204,http://hiltongardeninn3.hilton.com/en/hotels/district-of-columbia/hilton-garden-inn-washington-dc-us-capitol-DCANMGI/index.html,,,20002
69,-77.03097619,38.90625979,WASHINGTON PLAZA HOTEL,10 THOMAS CIRCLE NW,202-842-1300,355,http://www.washingtonplazahotel.com/,,,20005
70,-77.04849228,38.90608267,WASHINGTON MARRIOTT GEORGETOWN,1221 22ND STREET NW,202-872-1500,470,http://www.marriott.com/hotels/travel/waswe-washington-marriott/,,,20037
71,-77.03695807,38.90594573,"THE JEFFERSON, WASHINGTON, DC",1200 16TH STREET NW,202-448-2300,96,http://www.jeffersondc.com/,,,20036
72,-77.04628422,38.90591268,SAINT GREGORY,2033 M STREET NW,202-530-3600,155,http://www.stgregoryhotelwdc.com/,,,20036
73,-77.0293517,38.90591249,COMFORT INN DOWNTOWN DC/CONVENTION CENTER,1201 13TH STREET NW,202-682-5300,100,https://www.dcdowntownhotel.com/,,,20005
74,-76.994932,38.90578346,KELLOGG CONFERENCE HOTEL AT GALLAUDET UNIVERSITY,800 FLORIDA AVENUE NE,202-651-6000,97,http://kelloggconferencehotel.com/index.php,,,20002
75,-77.05112599,38.90573626,PARK HYATT WASHINGTON,1201 24TH STREET NW,202-789-1234,216,http://parkwashington.hyatt.com/en/hotel/home.html,,,20037
76,-77.05177645,38.90555725,THE FAIRMONT,2401 M STREET NW,202-429-2400,415,http://www.fairmont.com/washington/,,,20037
77,-77.0481586,38.90553051,HYATT PLACE WASHINGTON DC/GEORGETOWN/WEST END,2121 M STREET NW,202-838-2222,168,https://www.hyatt.com/en-US/hotel/washington-dc/hyatt-place-washington-dc-georgetown-west-end/waszm,,,20037
78,-77.04906661,38.90550779,HILTON GARDEN INN WASHINGTON DC/GEORGETOWN AREA,2201 M STREET NW,202-947-6010,,http://hiltongardeninn3.hilton.com/en/hotels/district-of-columbia/hilton-garden-inn-washington-dc-georgetown-area-WASWEGI/index.html,,,20037
79,-77.0163579,38.90547605,MT. VERNON SQUARE BED & BREAKFAST,400 M STREET NW,888-399-5496,5,http://mvsbed.com/,,,20001
80,-77.03406225,38.90537674,"THE MADISON WASHINGTON DC, A HILTON HOTEL",1177 15TH STREET NW,202-862-1600,365,http://www3.hilton.com/en/hotels/district-of-columbia/the-madison-washington-dc-a-hilton-hotel-DCAKEHH/accommodations/index.html,,,20005
81,-77.03343839,38.90532359,"THE WESTIN WASHINGTON, D.C. CITY CENTER",1400 M STREET NW,202-429-1700,406,http://www.starwoodhotels.com/westin/property/overview/index.html?propertyID=1761,,,20005
82,-77.03157047,38.90509773,KIMPTON DONOVAN HOTEL,1155 14TH STREET NW,202-737-1200,193,http://www.donovanhousehotel.com/,,,20005
83,-77.05109697,38.90497948,"THE WESTIN GEORGETOWN, WASHINGTON D.C.",2350 M STREET NW,202-429-0100,267,http://www.westingeorgetown.com/,,,20037
84,-77.05992342,38.90479629,THE GRAHAM GEORGETOWN,1075 THOMAS JEFFERSON STREET NW,202-337-0900,57,https://www.thegrahamgeorgetown.com/,,,20007
85,-77.04756432,38.90473955,THE WINK WASHINGTON DC,1143 NEW HAMPSHIRE AVENUE NW,202-775-0800,346,https://www.thewinkhoteldc.com/,,,20037
86,-77.05724597,38.9046989,FOUR SEASONS HOTEL,2800 PENNSYLVANIA AVENUE NW,202-342-0444,222,http://www.fourseasons.com/washington/,,,20007
87,-77.04907217,38.90452624,"THE RITZ-CARLTON, WASHINGTON, D.C.",1150 22ND STREET NW,202-835-0500,300,http://www.ritzcarlton.com/en/Properties/WashingtonDC/Default.htm,,,20037
88,-77.03946887,38.9044497,"THE MAYFLOWER HOTEL, AUTOGRAPH COLLECTION",1127 CONNECTICUT AVENUE NW,202-347-3000,657,https://www.marriott.com/hotels/travel/wasak-the-mayflower-hotel-autograph-collection/,,,20036
89,-77.02540002,38.90443442,THE ELDON LUXURY SUITES,933 L STREET NW,202-540-5000,50,http://eldonsuites.com/,,,20001
90,-77.03237339,38.90442342,"RESIDENCE INN WASHINGTON, DC DOWNTOWN",1199 VERMONT AVENUE NW,202-898-1100,202,http://www.marriott.com/hotels/travel/wasdc-residence-inn-washington-dc-downtown/,,,20005
91,-77.0265047,38.90438499,MORRISON-CLARK INN,1011 L STREET NW,202-898-1200,114,http://www.morrisonclark.com/,,,20001
92,-77.01829335,38.90438476,HOMEWOOD SUITES WASHINGTON DC CONVENTION CENTER,465 NEW YORK AVENUE NW,202-628-4663,,http://homewoodsuites3.hilton.com/en/hotels/district-of-columbia/homewood-suites-by-hilton-washington-dc-convention-center-WASCOHW,,,20001
93,-77.05894806,38.90436916,GEORGETWON SUITES 30TH STREET,1111 30TH STREET NW,202-298-7800,220,http://www.georgetownsuites.com/,,,20007
94,-77.02430589,38.90435502,RESIDENCE INN WASHINGTON DOWNTOWN/CONVENTION CENTER,901 L STREET NW,202-408-5300,,https://www.marriott.com/hotels/maps/travel/wasrd-residence-inn-washington-downtown-convention-center/,,,20001
95,-77.02419092,38.90435341,COURTYARD WASHINGTON DOWNTOWN/CONVENTION CENTER,901 L STREET NW,202-589-1800,,https://www.marriott.com/hotels/travel/wasyv-courtyard-washington-downtown-convention-center/,,,20001
96,-77.06097055,38.90433425,THE GEORGETOWN HOUSE,1061 31ST STREET NW,202-827-4294,11,https://www.thegeorgetownhousedc.com/,,,20007
97,-77.04795406,38.90431077,GEORGETOWN INN WEST END,1121 NEW HAMPSHIRE AVENUE NW,202-457-0565,76,https://www.georgetowninnwestend.com/,,,20037
98,-77.06145827,38.90399609,"ROSEWOOD WASHINGTON, D.C.",1050 31ST STREET NW,202-617-2400,61,https://www.rosewoodhotels.com/en/washington-dc,,,20007
99,-77.04270845,38.90398508,HOTEL RL,1823 L STREET NW,202-223-4320,99,https://www.redlion.com/washington-dc,,,20036
100,-77.03426752,38.90355673,THE ARCHITECT HOTEL,1025 15TH STREET NW,202-408-8200,,http://www.thearchitecthotel.com/,,,20005
101,-77.05367231,38.90344141,AVENUE SUITES HOTEL,2500 PENNSYLVANIA AVENUE NW,202-333-8060,124,https://www.avenuesuitesgeorgetown.com/,,,20037
102,-77.04972805,38.90337893,ONE WASHINGTON CIRCLE HOTEL,1 WASHINGTON CIRCLE NW,202-872-1680,151,http://www.thecirclehotel.com/,,,20037
103,-77.02420696,38.90328044,"MARRIOT MARQUIS WASHINGTON, DC",901 MASSACHUSETTS AVENUE NW,202-824-9200,1175,https://www.marriott.com/hotels/travel/wasco-marriott-marquis-washington-dc,,,20001
104,-77.06170397,38.90321989,RITZ-CARLTON GEORGETOWN,3100 SOUTH STREET NW,202-912-4100,86,http://www.ritzcarlton.com/en/hotels/washington-dc/georgetown,,,20007
105,-77.02571049,38.90315472,HENLEY PARK HOTEL,926 MASSACHUSETTS AVENUE NW,202-638-5200,96,http://www.henleypark.com/,,,20001
106,-77.03593506,38.90312968,CAPITAL HILTON,1001 16TH STREET NW,202-393-1000,541,http://www3.hilton.com/en/hotels/district-of-columbia/capital-hilton-DCASHHH/index.html,,,20036
107,-77.0526803,38.90301973,MELROSE GEORGETOWN HOTEL,2430 PENNSYLVANIA AVENUE NW,202-955-6400,277,http://www.melrosehoteldc.com/,,,20037
108,-77.05835995,38.90292974,GEORGETOWN SUITES HARBOUR,1000 29TH STREET NW,202-298-7800,222,http://www.georgetownsuites.com/,,,20007
109,-77.0315898,38.90292735,HAMILTON HOTEL WASHINGTON DC,1001 14TH STREET NW,202-682-0111,301,http://www.hamiltonhoteldc.com/,,,20005
110,-77.02846553,38.90292346,EATON WASHINGTON DC,1201 K STREET NW,202-289-7600,209,https://www.eatonworkshop.com/hotel/dc,,,20005
111,-77.02675767,38.90291801,HI WASHINGTON DC HOSTEL,1009 11TH STREET NW,202-737-2333,250,http://www.hiusa.org/washingtondc/,,,20001
112,-77.03566145,38.90215866,HYATT PLACE WASHINGTON DC/WHITE HOUSE,1522 K STREET NW,202-830-1900,164,https://www.hyatt.com/en-US/hotel/washington-dc/hyatt-place-washington-dc-white-house/waszw,,,20005
113,-77.03609871,38.90211204,"THE ST. REGIS WASHINGTON, D.C.",923 16TH STREET NW,202-638-2626,193,http://www.starwoodhotels.com/stregis/property/overview/index.html?propertyID=193,,,20006
114,-77.02620604,38.90202163,EMBASSY SUITES BY HILTON WASHINGTON DC CONVENTION CENTER,900 10TH STREET NW,202-739-2001,382,http://embassysuites3.hilton.com/en/hotels/district-of-columbia/embassy-suites-washington-dc-convention-center-WASCCES/index.html,,,20001
115,-77.02369057,38.90183551,RENAISSANCE WASHINGTON DC DOWNTOWN,999 9TH STREET NW,202-898-9000,807,http://www.marriott.com/hotels/travel/wasrb-renaissance-washington-dc-downtown-hotel/,,,20001
116,-77.01965224,38.90178752,HAMPTON INN WASHINGTON DOWNTOWN CONVENTION CENTER,901 6TH STREET NW,202-842-2500,228,http://hamptoninn3.hilton.com/en/hotels/district-of-columbia/hampton-inn-washington-downtown-convention-center-WASHHHX/index.html,,,20001
117,-77.04592077,38.90153801,HOTEL LOMBARDY,2019 PENNSYLVANIA AVENUE NW,202-828-2600,140,http://www.hotellombardy.com/,,,20006
118,-77.01543448,38.90147449,CAPITAL VIEW HOSTEL,301 I STREET NW,202-450-3450,,http://www.capitalhostels.com/,,,20001
119,-77.02540587,38.90145067,CONRAD WASHINGTON DC,950 NEW YORK AVENUE NW,202-844-5900,,http://conradhotels3.hilton.com/en/hotels/district-of-columbia/conrad-washington-dc-WASCICI/index.html,,,20001
120,-77.05371415,38.90143136,THE RIVER INN,924 25TH STREET NW,202-337-7600,125,http://www.theriverinn.com/,,,20037
121,-77.03924267,38.90108336,"CLUB QUARTERS HOTEL WASHINGTON, D.C.",839 17TH STREET NW,202-463-6400,185,https://clubquartershotels.com/locations/club-quarters-hotel-washington-dc,,,20006
122,-77.03173613,38.90067441,HILTON GARDEN INN WASHINGTON DC DOWNTOWN,815 14TH STREET NW,202-783-7800,300,http://hiltongardeninn3.hilton.com/en/hotels/district-of-columbia/hilton-garden-inn-washington-dc-downtown-DCACHGI/index.html,,,20005
123,-77.03695907,38.90053306,THE HAY-ADAMS,800 16TH STREET NW,202-638-6600,145,http://www.hayadams.com/,,,20006
124,-77.03399018,38.90051342,SOFITEL WASHINGTON DC LAFAYETTE SQUARE,806 15TH STREET NW,202-730-8800,237,http://www.sofitel.com/gb/hotel-3293-sofitel-washington-dc-lafayette-square/index.shtml,,,20005
125,-77.04110969,38.90048411,HAMPTON INN WASHINGTON DC/WHITE HOUSE,1729 H STREET NW,202-296-1006,116,http://hamptoninn3.hilton.com/en/hotels/district-of-columbia/hampton-inn-washington-dc-white-house-WASHSHX/index.html,,,20006
126,-76.99909858,38.90043675,CITY HOUSE HOSTEL WASHINGTON DC,506 H STREET NE,202-370-6390,,http://www.cityhousehostels.com/washington-dc/,,,20002
127,-77.05268078,38.900233,ARC THE.HOTEL,824 NEW HAMPSHIRE AVENUE NW,202-843-1564,95,https://arcthehoteldc.com,,,20037
128,-77.02120253,38.90002216,POD HOTEL DC,627 H STREET NW,202-847-4444,,https://www.thepodhotel.com/pod-dc/,,,20001
129,-77.04029435,38.89996641,AKA WHITE HOUSE,1710 H STREET NW,202-904-2500,142,http://www.stayaka.com/locations/white_house/default.aspx,,,20006
130,-77.05224877,38.8998552,"RESIDENCE INN WASHINGTON, DC/FOGGY BOTTOM",801 NEW HAMPSHIRE AVENUE NW,202-785-2000,103,https://www.marriott.com/hotels/travel/wasfg-residence-inn-washington-dc-foggy-bottom/,,,20037
131,-77.0333753,38.89984086,THE WOODWARD BY BRIDGESTREET,733 15TH STREET NW,1-800-278-7338,,https://www.bridgestreet.com/properties/washington/the-woodward,,,20005
132,-77.01925301,38.89966387,"FAIRFIELD INN & SUITES WASHINGTON, DC/DOWNTOWN",500 H STREET NW,202-289-5959,189,http://www.marriott.com/hotels/travel/wasfc-fairfield-inn-and-suites-washington-dc-downtown/,,,20001
133,-77.02778799,38.8993683,MARRIOTT AT METRO CENTER,775 12TH STREET NW,202-737-2200,459,http://www.marriott.com/hotels/travel/wasmc-washington-marriott-at-metro-center/,,,20005
134,-77.05582164,38.89934259,THE WATERGATE HOTEL,2650 VIRGINIA AVENUE NW,202-827-1600,336,https://www.thewatergatehotel.com,,,20037
135,-77.02649003,38.89934806,GRAND HYATT WASHINGTON,1000 H STREET NW,202-582-1234,897,https://washingtondc.grand.hyatt.com/en/hotel/home.html,,,20001
136,-77.04966539,38.89716823,HOTEL HIVE,2224 F STREET NW,202-849-8499,50,http://www.hotelhive.com,,,20037
137,-77.00948038,38.89709237,PHOENIX PARK HOTEL,520 NORTH CAPITOL STREET NW,202-638-6900,149,http://www.phoenixparkhotel.com/,,,20001
138,-77.02432854,38.89707374,COURTYARD WASHINGTON CONVENTION CENTER,900 F STREET NW,202-638-4600,188,http://www.marriott.com/hotels/travel/wascn-courtyard-washington-convention-center/,,,20004
139,-77.02246564,38.89699628,KIMPTON HOTEL MONACO,700 F STREET NW,202-628-7177,183,http://www.monaco-dc.com/,,,20004
140,-77.03339309,38.89696277,W WASHINGTON D.C.,515 15TH STREET NW,202-661-2400,317,http://www.wwashingtondc.com/,,,20004
141,-77.01110079,38.89681703,WASHINGTON COURT HOTEL,525 NEW JERSEY AVENUE NW,202-628-2100,265,http://washingtoncourthotel.com/,,,20001
142,-77.04469019,38.89652191,"COURTYARD WASHINGTON, DC/FOGGY BOTTOM",515 20TH STREET NW,202-296-5700,149,http://www.marriott.com/hotels/travel/wasfb-courtyard-washington-dc-foggy-bottom/,,,20006
143,-77.03234708,38.89650003,WILLARD INTERCONTINENTAL WASHINGTON D.C.,1401 PENNSYLVANIA AVENUE NW,202-628-9100,340,http://washington.intercontinental.com/,,,20004
144,-77.00990981,38.89640338,KIMPTON GEORGE HOTEL,15 E STREET NW,202-347-4200,139,http://www.hotelgeorge.com/,,,20001
145,-77.04750319,38.89638955,STATE PLAZA HOTEL,2117 E STREET NW,202-861-8200,460,http://www.stateplaza.com/,,,20037
146,-77.0313741,38.89637517,JW MARRIOTT,1331 PENNSYLVANIA AVENUE NW,202-393-2000,772,http://www.marriott.com/hotels/travel/wasjw-jw-marriott-washington-dc/,,,20004
147,-77.027304,38.89597172,HOTEL HARRINGTON,436 11TH STREET NW,202-628-8140,242,http://www.hotel-harrington.com/,,,20004
148,-77.02272269,38.89584676,STAY ALFRED ON 8TH STREET,425 8TH STREET NW,855-923-8300,,https://www.stayalfred.com/property/stay-alfred-on-8th-street,,,20004
149,-77.01068604,38.89539744,THE LIASON CAPITOL HILL,415 NEW JERSEY AVENUE NW,202-638-1616,343,https://www.jdvhotels.com/hotels/washington-dc/washington/liaison-capitol-hill,,,20001
150,-77.01170564,38.89537545,HYATT REGENCY WASHINGTON ON CAPITOL HILL,400 NEW JERSEY AVENUE NW,202-737-1234,836,http://washingtonregency.hyatt.com/en/hotel/home.html,,,20001
151,-77.02756369,38.89410666,"TRUMP INTERNATIONAL HOTEL WASHINGTON, D.C.",1100 PENNSYLVANIA AVENUE NW,202-695-1100,263,https://www.trumphotels.com/washington-dc,,,20004
152,-76.99926273,38.8910858,FOUND PLACES CAPITOL HILL BED AND BREAKFAST,101 5TH STREET NE,202-798-1262,11,https://www.capitolhillbnb.com/en-us,,,20002
153,-76.98997946,38.8883734,A CAPITOL PLACE,134 12TH STREET SE,202-543-1020,5,,,,20003
154,-76.9991868,38.88779657,INDEPENDENCE HOUSE B & B,504 INDEPENDENCE AVENUE SE,202-328-3510 ,,https://www.bedandbreakfastdc.com/accommodations/independence-house-b-b,,,20003
155,-77.00307661,38.88623916,CAPITOL HILL HOTEL,200 C STREET SE,202-543-6000,152,http://capitolhillhotel-dc.com/,,,20003
